id;good_id;buyer_id;price;activity_id;is_payed;is_delivered;is_refund;create_time
1;27994;42031;28812;94069;true;true;false;2020-11-05T09:23:57
2;65260;99529;92605;52992;false;true;true;2020-11-04T16:05:30
3;59022;77784;62140;54291;true;true;false;2020-11-05T07:18:54
4;13497;23782;22521;29700;true;false;true;2020-11-04T10:42:49
5;45384;7584;61190;95678;false;false;false;2020-11-04T18:33:39
6;46235;31044;30764;96675;false;true;false;2020-11-04T22:15:00
7;5279;95759;79480;82810;false;true;true;2020-11-04T16:56:37
8;99446;98054;27146;52981;true;true;true;2020-11-04T11:11:32
9;83894;72193;61938;67285;true;false;false;2020-11-04T11:24:45
10;21779;38775;33336;25056;true;true;true;2020-11-04T16:45:51
